date,session_key,driver_number,speed,brake,rpm,n_gear,drs,meeting_key,throttle,x,y,z
2025-05-04T19:08:20.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:20.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:20.829000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:21.029000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:21.229000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:21.429000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:21.669000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:22.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:22.268000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:22.508000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:22.668000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:22.828000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:23.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:23.348000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:23.588000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:23.948000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:24.308000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:24.468000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:24.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:25.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:25.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:25.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:25.868000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:26.148000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:26.468000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:26.668000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:26.828000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:27.068000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:27.309000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:27.669000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:27.829000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:28.109000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:28.349000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:28.509000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:28.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:28.908000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:29.228000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:29.468000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:29.748000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:29.988000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:30.148000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:30.468000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:30.828000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:30.988000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:31.148000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:31.428000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:31.788000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:32.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:32.468000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:32.948000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:33.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:33.268000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:33.468000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:33.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:33.949000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:34.269000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:34.469000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:34.869000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:35.269000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:35.548000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:36.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:36.348000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:36.588000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:36.788000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:37.068000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:37.228000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:37.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:37.868000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:38.268000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:38.508000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:38.668000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:38.908000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:39.268000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:39.508000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:39.908000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:40.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:40.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:40.589000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:40.789000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:40.989000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:41.389000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:41.629000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:41.869000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:42.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:42.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:42.828000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:43.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:43.588000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:43.788000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:44.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
